INSERT into jadwal (id_jadwal, tanggal) VALUES
('5080','12-12-2112'),
('2980','6-7-2068'),
('2966','6-5-2125'),
('4828','8-3-2043'),
('2347','12-2-2052'),
('5702','10-3-2125'),
('4693','3-1-2046'),
('3253','10-9-2085'),
('6719','8-12-2106'),
('5031','7-7-2100'),
('3388','2-4-2055'),
('4156','9-6-2119'),
('7330','1-4-2041'),
('8766','10-1-2120'),
('2801','6-7-2044'),
('3423','1-6-2039'),
('3850','8-6-2097'),
('2262','12-11-2079'),
('6335','10-3-2117'),
('4656','1-1-2102'),
('8028','1-6-2099'),
('9083','1-1-2102'),
('3893','1-11-2121'),
('5922','11-2-2046'),
('8398','10-6-2096'),
('4488','9-6-2114'),
('6099','2-2-2028'),
('2654','6-12-2097'),
('9092','9-10-2063'),
('6610','1-5-2025'),
('4487','10-5-2070'),
('2366','1-7-2033'),
('5732','5-10-2047'),
('3549','4-4-2070'),
('6696','4-4-2069'),
('8242','11-12-2045'),
('4243','8-8-2029'),
('9179','7-8-2029'),
('1779','12-12-2046'),
('3178','4-3-2079'),
('7385','11-6-2088'),
('2157','6-8-2030'),
('8738','2-6-2119'),
('9274','1-2-2052'),
('8989','11-3-2092'),
('2791','2-3-2052'),
('3554','2-10-2086'),
('6673','5-9-2118'),
('4796','6-10-2123'),
('5163','1-7-2058'),
('6013','8-6-2037'),
('8701','6-9-2030'),
('6862','9-9-2095'),
('1218','6-6-2067'),
('4853','3-7-2103'),
('9802','11-7-2079'),
('3230','5-11-2046'),
('4024','11-4-2075'),
('6143','9-11-2077'),
('4438','3-8-2030'),
('1040','6-10-2096'),
('7660','10-4-2122'),
('1370','4-6-2092'),
('5817','2-6-2053'),
('5243','12-5-2038'),
('4533','8-12-2045'),
('7604','7-8-2124'),
('2164','9-6-2050'),
('9852','1-5-2078'),
('4414','1-8-2122'),
('5760','2-6-2099'),
('2785','11-4-2119'),
('9900','6-4-2066'),
('1119','5-3-2110'),
('2178','5-8-2031'),
('3092','11-2-2123'),
('9586','1-1-2037'),
('7284','4-2-2075'),
('4071','3-9-2108'),
('4910','12-5-2092'),
('1177','9-3-2105'),
('6594','12-1-2079'),
('7338','10-5-2109'),
('3587','5-9-2037'),
('9438','8-6-2047'),
('7263','6-1-2070'),
('2818','1-9-2086'),
('5282','9-1-2044'),
('8372','4-3-2115'),
('4700','4-9-2098'),
('5609','8-7-2074'),
('8342','1-12-2067'),
('2255','4-6-2074'),
('7656','1-7-2061'),
('1755','12-8-2042'),
('7125','7-2-2123'),
('1975','7-4-2095'),
('5821','1-9-2088'),
('7039','8-10-2106'),
('3763','4-6-2040');
